ObdobÌ;Typ hl·öenÌ;ATC7;KÛd S⁄KL;N·zev p¯Ìpravku;DoplnÏk n·zvu;Drûitel registraËnÌho rozhodnutÌ;ZemÏ;Typ pohybu;PoËet balenÌ;PoËet definovan˝ch dennÌch d·vek/balenÌ;Zp˘sob v˝deje;Hrazeno
2020.05;Distributor;A10BA02;227169;SIOFOR PROLONG;500MG TBL PRO 60;BBE;D;D;13480;15;R;Ano
2020.05;Distributor;A10BA02;227174;SIOFOR PROLONG;750MG TBL PRO 60;BBE;D;D;7119;22,5;R;Ano
2020.05;Distributor;A10BA02;19580;STADAMET;1000MG TBL FLM 120 I;STD;D;D;42848;60;R;Ano
2020.05;Distributor;A10BA02;19577;STADAMET;1000MG TBL FLM 60 I;STD;D;D;32174;30;R;Ano
2020.05;Distributor;A10BB07;103542;MINIDIAB;5MG TBL NOB 120;PFX;CZ;D;7005;60;R;Ano
2020.05;Distributor;A10BB09;234454;GLICLAZID MYLAN;30MG TBL RET 120;MII;IRL;D;14030;60;R;Ano
2020.05;Distributor;A10BB09;234451;GLICLAZID MYLAN;30MG TBL RET 60;MII;IRL;D;17960;30;R;Ano
2020.05;Distributor;A10BB12;163085;AMARYL;3MG TBL NOB 30;SFK;CZ;D;32814;45;R;Ano
2020.05;Distributor;A10BB12;235320;GLIMEPIRID MYLAN;2MG TBL NOB 90;MII;IRL;D;5664;90;R;Ano
2020.05;Distributor;A10BB12;12026;GLIMEPIRID SANDOZ;1MG TBL NOB 30;SZK;A;D;5143;15;R;Ano
2020.05;Distributor;A10BB12;12143;GLIMEPIRID SANDOZ;4MG TBL NOB 120;SZK;A;D;2432;240;R;Ano
2020.05;Distributor;A10BB12;12181;GLIMEPIRID SANDOZ;4MG TBL NOB 30;SZK;A;D;5020;60;R;Ano
2020.05;Distributor;A10BB12;59558;OLTAR;2MG TBL NOB 30;BBE;D;D;3600;30;R;Ano
2020.05;Distributor;A10BB12;51981;OLTAR;6MG TBL NOB 30;MNI;L;D;3600;90;R;Ano
2020.05;Distributor;A10BD07;500551;JANUMET;50MG/1000MG TBL FLM 196(2X98);MSD;NL;D;2072;98;R;Ano
2020.05;Distributor;A10BD07;500140;JANUMET;50MG/1000MG TBL FLM 56;MSD;NL;D;9800;28;R;Ano
2020.05;Distributor;A10BD07;500550;JANUMET;50MG/850MG TBL FLM 196(2X98);MSD;NL;D;336;98;R;Ano
2020.05;Distributor;A10BD07;500133;JANUMET;50MG/850MG TBL FLM 56;MSD;NL;D;1700;28;R;Ano
2020.05;Distributor;A10BD08;29740;EUCREAS;50MG/1000MG TBL FLM 60 I;NEI;IRL;D;46961;30;R;Ano
2020.05;Distributor;A10BD09;194480;INCRESYNC;25MG/30MG TBL FLM 28;TKD;DK;D;1050;28;R;Ano
2020.05;Distributor;A10BD10;168891;KOMBOGLYZE;2,5MG/1000MG TBL FLM 60;AZC;S;D;180;30;R;Ano
2020.05;Distributor;A10BD10;168885;KOMBOGLYZE;2,5MG/850MG TBL FLM 60;AZC;S;D;60;30;R;Ano
2020.05;Distributor;A10BD13;194423;VIPDOMET;12,5MG/1000MG TBL FLM 56;TKD;DK;D;7612;28;R;Ano
2020.05;Distributor;A10BD13;194411;VIPDOMET;12,5MG/850MG TBL FLM 56;TKD;DK;D;1024;28;R;Ano
2020.05;Distributor;A10BD15;194783;XIGDUO;5MG/1000MG TBL FLM 196(2X98);AZC;S;D;1086;98;R;Ano
2020.05;Distributor;A10BD15;194781;XIGDUO;5MG/1000MG TBL FLM 60;AZC;S;D;3080;30;R;Ano
2020.05;Distributor;A10BD15;194775;XIGDUO;5MG/850MG TBL FLM 60;AZC;S;D;960;30;R;Ano
2020.05;Distributor;A10BD16;194992;VOKANAMET;50MG/1000MG TBL FLM 60;JAI;B;D;2400;30;R;Ano
2020.05;Distributor;A10BF01;223544;GLUCOBAY;100MG TBL NOB 120;BAY;D;D;8136;40;R;Ano
2020.05;Distributor;A10BG03;193032;PIOGLITAZON ACTAVIS;30MG TBL NOB 28 KAL;ACK;IS;D;16128;28;R;Ano
2020.05;Distributor;A10BH01;28740;JANUVIA;100MG TBL FLM 28;MSD;NL;D;5760;28;R;Ano
2020.05;Distributor;A10BH01;28743;JANUVIA;100MG TBL FLM 98;MSD;NL;D;2550;98;R;Ano
2020.05;Distributor;A10BH03;149501;ONGLYZA;5MG TBL FLM 90X1;AZC;S;D;40;90;R;Ano
2020.05;Distributor;A10BH04;194444;VIPIDIA;12,5MG TBL FLM 28;TKD;DK;D;8280;14;R;Ano
2020.05;Distributor;A10BH04;194453;VIPIDIA;25MG TBL FLM 28;TKD;DK;D;10180;28;R;Ano
2020.05;Distributor;A10BJ01;210103;BYDUREON;2MG INJ PLQ SUS PRO 4X1+1J;AZC;S;D;120;27,972;R;Ano
2020.05;Distributor;A10BJ01;27940;BYETTA;10MCG INJ SOL 1X2,4ML;AZC;S;D;30;40;R;Ano
2020.05;Distributor;A10BJ02;210390;SAXENDA;6MG/ML INJ SOL 3X3ML;NOO;DK;D;260;36;R;Ne
